kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,dram_bytes_source,flops_source,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,1,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3712.0,0.43,1.04,47.15,,60288.0,21504.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9696.0,1.96,0.48,49.28,,73344.0,73680.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5184.0,0.16,0.05,48.61,,4096.0,66.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3680.0,0.42,1.02,47.28,,60416.0,21504.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7040.0,2.26,0.67,49.1,,72064.0,221208.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4640.0,0.15,0.05,48.41,,3712.0,51.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3712.0,0.43,1.04,46.75,,60288.0,21504.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4992.0,2.55,1.76,47.51,,137344.0,284688.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4768.0,0.14,0.09,48.22,,5888.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3840.0,0.86,2.08,46.92,,125952.0,46080.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9600.0,3.93,0.92,49.29,,138880.0,147360.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5696.0,0.16,0.05,48.79,,4096.0,138.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3808.0,0.87,2.11,47.14,,125952.0,46080.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6944.0,4.47,1.27,49.08,,137600.0,442416.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5248.0,0.14,0.04,48.63,,3840.0,147.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3808.0,0.87,2.09,46.91,,125952.0,46080.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5024.0,5.08,3.42,47.65,,268416.0,569376.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4448.0,0.14,0.09,48.61,,6016.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3840.0,1.81,4.37,46.83,,257152.0,95232.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9728.0,7.78,1.77,49.29,,269952.0,294720.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6048.0,0.17,0.04,49.15,,4224.0,282.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3872.0,1.75,4.2,47.0,,257152.0,95232.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6944.0,8.96,2.49,49.17,,268672.0,884832.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5312.0,0.17,0.05,48.96,,3968.0,387.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3744.0,1.76,4.28,47.06,,257152.0,95232.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5120.0,9.83,6.49,47.61,,530560.0,1138752.0,ncu,ncu,20.0,17792.0,1024.0,,
