kernel,D,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,sm_util_pct,dram_util_pct,bandwidth_util_pct
warp_shuffle,1,48.489463375515825,31.033256560330127,,22.0,17792.0,1024.0,2.2536507670497294,2.314651474305288,2.314651474305288
blelloch,1,49.60019134259473,31.744122459260627,,25.0,17536.0,1024.0,3.703599994357326,1.4909319278077056,1.4909319278077056
hillis_steele,1,49.237242256992296,31.51183504447507,,18.0,17536.0,1024.0,3.850304798041665,1.8693507607288795,1.8693507607288795
warp_shuffle,16,64.08202042508404,41.01249307205378,,22.0,17792.0,1024.0,14.796309030170555,15.351712685307247,15.351712685307247
blelloch,16,67.83380767761938,43.4136369136764,,25.0,17536.0,1024.0,19.33151233003107,7.789328817856348,7.789328817856348
hillis_steele,16,66.2282451214194,42.38607687770842,,18.0,17536.0,1024.0,22.78532028237326,11.091007263898021,11.091007263898021
warp_shuffle,64,73.21865516615537,46.85993930633944,,22.0,17792.0,1024.0,24.650964088874755,30.59671233203182,30.59671233203182
blelloch,64,79.14288551508346,50.651446729653415,,25.0,17536.0,1024.0,29.64305824474456,14.138594760078796,14.138594760078796
hillis_steele,64,76.77511064219733,49.13607081100629,,18.0,17536.0,1024.0,36.10961187017715,21.105882263498945,21.105882263498945
warp_shuffle,256,85.13457662085159,54.486129037345016,,22.0,17792.0,1024.0,33.34676412044678,46.14944706345179,46.14944706345179
blelloch,256,91.41715814351228,58.50698121184786,,25.0,17536.0,1024.0,37.588192754481426,20.365318108843464,20.365318108843464
hillis_steele,256,89.16428570474213,57.06514285103496,,18.0,17536.0,1024.0,47.06055654838371,31.17683235095396,31.17683235095396
warp_shuffle,512,85.54886009665451,54.75127046185888,,22.0,17792.0,1024.0,37.0432063949843,52.97128186291016,52.97128186291016
blelloch,512,92.56535393643338,59.24182651931737,,25.0,17536.0,1024.0,40.41044292274337,23.0743775386436,23.0743775386436
hillis_steele,512,90.09087179852585,57.658157951056545,,18.0,17536.0,1024.0,51.08640712908942,35.64951411054635,35.64951411054635
