kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct,phase1_launches,phase2_launches,phase3_launches,other_launches
warp_shuffle,1,1024,5056.0,4608.0,2752.0,0.0,12416.0,40.72164948453608,37.11340206185567,22.164948453608247,0.0,1,1,1,0
blelloch,1,1024,9664.0,4288.0,2784.0,0.0,16736.0,57.74378585086042,25.621414913957935,16.634799235181646,0.0,1,1,1,0
hillis_steele,1,1024,6976.0,3904.0,2752.0,0.0,13632.0,51.17370892018779,28.63849765258216,20.187793427230048,0.0,1,1,1,0
warp_shuffle,1,2048,4896.0,4544.0,3904.0,0.0,13344.0,36.69064748201439,34.05275779376499,29.256594724220623,0.0,1,1,1,0
blelloch,1,2048,9728.0,4672.0,3680.0,0.0,18080.0,53.80530973451327,25.84070796460177,20.353982300884955,0.0,1,1,1,0
hillis_steele,1,2048,6784.0,4320.0,3680.0,0.0,14784.0,45.887445887445885,29.22077922077922,24.89177489177489,0.0,1,1,1,0
warp_shuffle,1,4096,4960.0,4480.0,3840.0,0.0,13280.0,37.34939759036145,33.734939759036145,28.91566265060241,0.0,1,1,1,0
blelloch,1,4096,9568.0,5120.0,3744.0,0.0,18432.0,51.90972222222222,27.77777777777778,20.3125,0.0,1,1,1,0
hillis_steele,1,4096,6784.0,4704.0,3744.0,0.0,15232.0,44.53781512605042,30.88235294117647,24.57983193277311,0.0,1,1,1,0
warp_shuffle,1,8192,5088.0,4224.0,3776.0,0.0,13088.0,38.87530562347188,32.27383863080684,28.850855745721272,0.0,1,1,1,0
blelloch,1,8192,9760.0,5056.0,3808.0,0.0,18624.0,52.40549828178694,27.147766323024054,20.446735395189002,0.0,1,1,1,0
hillis_steele,1,8192,6976.0,4640.0,3776.0,0.0,15392.0,45.32224532224532,30.145530145530145,24.532224532224532,0.0,1,1,1,0
warp_shuffle,1,16384,4928.0,4480.0,3968.0,0.0,13376.0,36.8421052631579,33.49282296650718,29.66507177033493,0.0,1,1,1,0
blelloch,1,16384,9728.0,5792.0,3840.0,0.0,19360.0,50.247933884297524,29.917355371900825,19.834710743801654,0.0,1,1,1,0
hillis_steele,1,16384,7008.0,5312.0,3840.0,0.0,16160.0,43.366336633663366,32.87128712871287,23.762376237623762,0.0,1,1,1,0
warp_shuffle,1,32768,5152.0,4480.0,4000.0,0.0,13632.0,37.79342723004695,32.863849765258216,29.342723004694836,0.0,1,1,1,0
blelloch,1,32768,9792.0,6112.0,4000.0,0.0,19904.0,49.19614147909968,30.707395498392284,20.09646302250804,0.0,1,1,1,0
hillis_steele,1,32768,7008.0,5376.0,3904.0,0.0,16288.0,43.02554027504912,33.00589390962672,23.968565815324165,0.0,1,1,1,0
warp_shuffle,1,65536,5280.0,4288.0,4192.0,0.0,13760.0,38.372093023255815,31.162790697674417,30.46511627906977,0.0,1,1,1,0
blelloch,1,65536,10112.0,6208.0,4128.0,0.0,20448.0,49.45226917057903,30.359937402190923,20.187793427230048,0.0,1,1,1,0
hillis_steele,1,65536,7232.0,5344.0,4192.0,0.0,16768.0,43.12977099236641,31.870229007633586,25.0,0.0,1,1,1,0
warp_shuffle,1,131072,6752.0,4640.0,4864.0,0.0,16256.0,41.53543307086614,28.543307086614174,29.921259842519685,0.0,1,1,1,0
blelloch,1,131072,15296.0,6976.0,4832.0,0.0,27104.0,56.434474616292796,25.73789846517119,17.82762691853601,0.0,1,1,1,0
hillis_steele,1,131072,9984.0,5952.0,4800.0,0.0,20736.0,48.148148148148145,28.703703703703702,23.14814814814815,0.0,1,1,1,0
warp_shuffle,16,1024,5056.0,4352.0,2560.0,0.0,11968.0,42.24598930481283,36.36363636363637,21.390374331550802,0.0,1,1,1,0
blelloch,16,1024,9824.0,4000.0,2560.0,0.0,16384.0,59.9609375,24.4140625,15.625,0.0,1,1,1,0
hillis_steele,16,1024,6944.0,3680.0,2560.0,0.0,13184.0,52.66990291262136,27.9126213592233,19.41747572815534,0.0,1,1,1,0
warp_shuffle,16,2048,5088.0,4160.0,3872.0,0.0,13120.0,38.78048780487805,31.70731707317073,29.51219512195122,0.0,1,1,1,0
blelloch,16,2048,10112.0,4352.0,3936.0,0.0,18400.0,54.95652173913044,23.652173913043477,21.391304347826086,0.0,1,1,1,0
hillis_steele,16,2048,7040.0,3904.0,3808.0,0.0,14752.0,47.72234273318872,26.464208242950107,25.81344902386117,0.0,1,1,1,0
warp_shuffle,16,4096,5312.0,4352.0,4128.0,0.0,13792.0,38.51508120649652,31.554524361948957,29.930394431554525,0.0,1,1,1,0
blelloch,16,4096,10176.0,4960.0,4064.0,0.0,19200.0,53.0,25.833333333333332,21.166666666666668,0.0,1,1,1,0
