kernel,D,L,time_ms,correct,throughput_GB_s
hillis_steele,16,4096,0.021792,1,36.088105
hillis_steele,16,8192,0.024416,1,64.419398
hillis_steele,16,16384,0.028416,1,110.702702
hillis_steele,16,32768,0.032256,1,195.047621
hillis_steele,16,65536,0.046688,1,269.510614
hillis_steele,16,131072,0.075968,1,331.268756
warp_shuffle,64,1024,0.019840,1,39.638709
warp_shuffle,64,2048,0.020640,1,76.204649
warp_shuffle,64,4096,0.022560,1,139.438295
warp_shuffle,64,8192,0.023968,1,262.493992
warp_shuffle,64,16384,0.032576,1,386.263280
warp_shuffle,64,32768,0.052800,1,476.625457
warp_shuffle,64,65536,0.121696,1,413.585055
warp_shuffle,64,131072,0.219072,1,459.498687
blelloch,64,1024,0.025344,1,31.030304
blelloch,64,2048,0.028256,1,55.664781
blelloch,64,4096,0.031904,1,98.599797
blelloch,64,8192,0.045056,1,139.636363
blelloch,64,16384,0.065536,1,192.000000
blelloch,64,32768,0.112864,1,222.974761
blelloch,64,65536,0.229728,1,219.092354
blelloch,64,131072,0.435968,1,230.896060
hillis_steele,64,1024,0.021408,1,36.735428
hillis_steele,64,2048,0.023200,1,67.795863
hillis_steele,64,4096,0.025664,1,122.573567
hillis_steele,64,8192,0.029600,1,212.549189
hillis_steele,64,16384,0.046240,1,272.121810
hillis_steele,64,32768,0.073888,1,340.594213
hillis_steele,64,65536,0.157088,1,320.404163
hillis_steele,64,131072,0.294528,1,341.778349
warp_shuffle,256,1024,0.022944,1,137.104605
warp_shuffle,256,2048,0.030208,1,208.271180
warp_shuffle,256,4096,0.034176,1,368.179781
warp_shuffle,256,8192,0.052320,1,480.998167
warp_shuffle,256,16384,0.118304,1,425.443335
warp_shuffle,256,32768,0.218048,1,461.656576
warp_shuffle,256,65536,0.420768,1,478.474113
warp_shuffle,256,131072,0.885024,1,454.963005
blelloch,256,1024,0.034240,1,91.872897
blelloch,256,2048,0.043008,1,146.285715
blelloch,256,4096,0.064608,1,194.757800
blelloch,256,8192,0.110912,1,226.899014
blelloch,256,16384,0.226752,1,221.967826
blelloch,256,32768,0.435552,1,231.116596
blelloch,256,65536,0.855648,1,235.291377
blelloch,256,131072,1.685696,1,238.864649
hillis_steele,256,1024,0.027136,1,115.924529
hillis_steele,256,2048,0.031488,1,199.804870
hillis_steele,256,4096,0.044224,1,284.526763
hillis_steele,256,8192,0.075296,1,334.225246
hillis_steele,256,16384,0.155968,1,322.704974
hillis_steele,256,32768,0.297344,1,338.541542
hillis_steele,256,65536,0.570304,1,353.016287
hillis_steele,256,131072,1.125696,1,357.692667
warp_shuffle,512,1024,0.027232,1,231.031722
warp_shuffle,512,2048,0.032672,1,385.128315
warp_shuffle,512,4096,0.053280,1,472.331535
warp_shuffle,512,8192,0.118624,1,424.295651
warp_shuffle,512,16384,0.218464,1,460.777497
warp_shuffle,512,32768,0.420256,1,479.057045
warp_shuffle,512,65536,0.821056,1,490.408912
warp_shuffle,512,131072,1.652704,1,487.265940
blelloch,512,1024,0.044384,1,141.750544
blelloch,512,2048,0.064992,1,193.607081
blelloch,512,4096,0.111136,1,226.441699
blelloch,512,8192,0.224384,1,224.310330
blelloch,512,16384,0.434464,1,231.695363
blelloch,512,32768,0.854624,1,235.573303
blelloch,512,65536,1.687584,1,238.597411
blelloch,512,131072,3.355840,1,239.971624
hillis_steele,512,1024,0.031808,1,197.794768
hillis_steele,512,2048,0.043872,1,286.809636
hillis_steele,512,4096,0.074368,1,338.395869
hillis_steele,512,8192,0.155392,1,323.901141
hillis_steele,512,16384,0.294560,1,341.741245
hillis_steele,512,32768,0.568512,1,354.128996
hillis_steele,512,65536,1.121632,1,358.988680
hillis_steele,512,131072,2.232224,1,360.764140
