kernel,D,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,sm_util_pct,dram_util_pct,bandwidth_util_pct
warp_shuffle,1,48.13582240368013,30.806926338355282,,22.0,17792.0,1024.0,2.2495764763491426,,
blelloch,1,49.66216031738269,31.783782603124923,,25.0,17536.0,1024.0,3.6816810288937014,,
hillis_steele,1,49.29224922458566,31.547039503734823,,18.0,17536.0,1024.0,3.8054874658982794,,
warp_shuffle,16,63.51464157364843,40.649370607135,,22.0,17792.0,1024.0,14.86120912697874,,
blelloch,16,67.76081365872795,43.36692074158589,,25.0,17536.0,1024.0,19.385766230346057,,
hillis_steele,16,66.10593899272583,42.307800955344526,,18.0,17536.0,1024.0,22.745454296219442,,
warp_shuffle,64,72.51331253528575,46.408520022582884,,22.0,17792.0,1024.0,24.708992546347897,,
blelloch,64,78.98605865095485,50.5510775366111,,25.0,17536.0,1024.0,29.675037849623898,,
hillis_steele,64,76.3635727032986,48.8726865301111,,18.0,17536.0,1024.0,36.21616704552301,,
warp_shuffle,256,84.50751216896265,54.08480778813609,,22.0,17792.0,1024.0,33.42412817521878,,
blelloch,256,91.30999964326318,58.438399771688445,,25.0,17536.0,1024.0,37.61954692381528,,
hillis_steele,256,88.67147270119023,56.74974252876174,,18.0,17536.0,1024.0,47.04658902301369,,
warp_shuffle,512,84.8682772550033,54.31569744320211,,22.0,17792.0,1024.0,37.174545275916266,,
blelloch,512,92.28428353543539,59.061941462678654,,25.0,17536.0,1024.0,40.39786154485052,,
hillis_steele,512,89.64719305858122,57.37420355749199,,18.0,17536.0,1024.0,51.16135035935811,,
