kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,1,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4928.0,2.58,,48.22,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4480.0,0.14,,47.78,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3968.0,0.88,,45.82,,,,16.0,1024.0,1024.0,,
blelloch,1,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9728.0,3.98,,48.94,,,,25.0,17536.0,1024.0,,
blelloch,1,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5792.0,0.16,,48.16,,,,20.0,17408.0,1024.0,,
blelloch,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3840.0,0.88,,47.37,,,,16.0,1024.0,1024.0,,
hillis_steele,1,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7008.0,4.51,,48.98,,,,16.0,17536.0,1024.0,,
hillis_steele,1,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5312.0,0.15,,48.48,,,,18.0,17408.0,1024.0,,
hillis_steele,1,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3840.0,0.86,,47.41,,,,16.0,1024.0,1024.0,,
warp_shuffle,1,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5152.0,5.08,,48.13,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4480.0,0.14,,48.4,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4000.0,1.81,,46.83,,,,16.0,1024.0,1024.0,,
blelloch,1,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9792.0,7.71,,50.01,,,,25.0,17536.0,1024.0,,
blelloch,1,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6112.0,0.17,,50.23,,,,20.0,17408.0,1024.0,,
blelloch,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4000.0,1.76,,45.17,,,,16.0,1024.0,1024.0,,
hillis_steele,1,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7008.0,8.96,,49.21,,,,16.0,17536.0,1024.0,,
hillis_steele,1,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5376.0,0.17,,48.72,,,,18.0,17408.0,1024.0,,
hillis_steele,1,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3904.0,1.76,,47.03,,,,16.0,1024.0,1024.0,,
warp_shuffle,1,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5280.0,9.7,,48.94,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4288.0,0.15,,47.01,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4192.0,3.38,,46.42,,,,16.0,1024.0,1024.0,,
blelloch,1,65536,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10112.0,15.27,,49.22,,,,25.0,17536.0,1024.0,,
blelloch,1,65536,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6208.0,0.19,,50.41,,,,20.0,17408.0,1024.0,,
