kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
hillis_steele,64,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9984.0,25.2,,57.86,,,,16.0,17536.0,1024.0,,
hillis_steele,64,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4000.0,7.4,,46.82,,,,18.0,17408.0,1024.0,,
hillis_steele,64,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4448.0,4.13,,54.52,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9344.0,22.43,,84.33,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4448.0,9.58,,45.75,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,5280.0,8.73,,78.92,,,,16.0,1024.0,1024.0,,
blelloch,64,4096,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,21344.0,28.95,,85.44,,,,25.0,17536.0,1024.0,,
blelloch,64,4096,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4800.0,9.05,,47.99,,,,20.0,17408.0,1024.0,,
blelloch,64,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,5184.0,8.72,,77.95,,,,16.0,1024.0,1024.0,,
hillis_steele,64,4096,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,13600.0,37.23,,85.04,,,,16.0,17536.0,1024.0,,
hillis_steele,64,4096,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4416.0,8.4,,47.58,,,,18.0,17408.0,1024.0,,
hillis_steele,64,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,5216.0,8.77,,79.87,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,8192,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,12320.0,34.06,,85.09,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,8192,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4416.0,9.37,,47.47,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,7648.0,12.07,,80.94,,,,16.0,1024.0,1024.0,,
blelloch,64,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,31936.0,38.47,,90.51,,,,25.0,17536.0,1024.0,,
blelloch,64,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5312.0,9.65,,49.19,,,,20.0,17408.0,1024.0,,
blelloch,64,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,7488.0,12.22,,80.43,,,,16.0,1024.0,1024.0,,
hillis_steele,64,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19616.0,51.42,,88.68,,,,16.0,17536.0,1024.0,,
hillis_steele,64,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4864.0,9.02,,48.26,,,,18.0,17408.0,1024.0,,
hillis_steele,64,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,7616.0,12.26,,82.14,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19424.0,42.88,,86.34,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4544.0,9.25,,45.96,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,12064.0,15.69,,80.07,,,,16.0,1024.0,1024.0,,
blelloch,64,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,58592.0,41.79,,93.88,,,,25.0,17536.0,1024.0,,
blelloch,64,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5888.0,10.3,,48.68,,,,20.0,17408.0,1024.0,,
blelloch,64,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,11904.0,15.74,,81.04,,,,16.0,1024.0,1024.0,,
hillis_steele,64,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,34336.0,58.65,,91.45,,,,16.0,17536.0,1024.0,,
hillis_steele,64,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5344.0,9.43,,47.45,,,,18.0,17408.0,1024.0,,
hillis_steele,64,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,11968.0,15.67,,80.59,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,33664.0,49.72,,86.1,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4480.0,8.99,,49.48,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,19520.0,20.06,,79.64,,,,16.0,1024.0,1024.0,,
blelloch,64,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,106880.0,45.71,,95.12,,,,25.0,17536.0,1024.0,,
blelloch,64,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6208.0,11.37,,48.78,,,,20.0,17408.0,1024.0,,
blelloch,64,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,19552.0,19.88,,80.04,,,,16.0,1024.0,1024.0,,
hillis_steele,64,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,61536.0,65.19,,93.06,,,,16.0,17536.0,1024.0,,
hillis_steele,64,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5536.0,10.79,,48.71,,,,18.0,17408.0,1024.0,,
hillis_steele,64,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,19456.0,19.67,,80.87,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,63776.0,52.05,,87.46,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4512.0,8.96,,49.09,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,42976.0,18.67,,79.76,,,,16.0,1024.0,1024.0,,
blelloch,64,65536,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,208576.0,46.83,,95.79,,,,25.0,17536.0,1024.0,,
blelloch,64,65536,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6464.0,11.85,,49.25,,,,20.0,17408.0,1024.0,,
blelloch,64,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,42656.0,18.53,,79.96,,,,16.0,1024.0,1024.0,,
hillis_steele,64,65536,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,118656.0,67.29,,94.17,,,,16.0,17536.0,1024.0,,
hillis_steele,64,65536,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5664.0,11.84,,48.52,,,,18.0,17408.0,1024.0,,
hillis_steele,64,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,42816.0,18.6,,80.4,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,131072,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,122464.0,53.8,,88.19,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,131072,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4480.0,9.36,,48.42,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,91360.0,17.16,,82.94,,,,16.0,1024.0,1024.0,,
blelloch,64,131072,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,412256.0,47.41,,96.21,,,,25.0,17536.0,1024.0,,
blelloch,64,131072,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6944.0,12.2,,50.17,,,,20.0,17408.0,1024.0,,
blelloch,64,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,91360.0,17.22,,82.98,,,,16.0,1024.0,1024.0,,
hillis_steele,64,131072,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,231872.0,68.77,,94.57,,,,16.0,17536.0,1024.0,,
hillis_steele,64,131072,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,6048.0,12.53,,49.94,,,,18.0,17408.0,1024.0,,
hillis_steele,64,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,91136.0,17.28,,82.9,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9408.0,21.85,,88.67,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6368.0,26.21,,81.88,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2976.0,5.87,,81.62,,,,16.0,1024.0,1024.0,,
blelloch,256,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,21184.0,28.88,,85.67,,,,25.0,17536.0,1024.0,,
blelloch,256,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5856.0,19.47,,80.62,,,,20.0,17408.0,1024.0,,
blelloch,256,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2976.0,5.59,,99.04,,,,16.0,1024.0,1024.0,,
hillis_steele,256,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,13504.0,37.37,,84.68,,,,16.0,17536.0,1024.0,,
hillis_steele,256,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5216.0,14.34,,79.36,,,,18.0,17408.0,1024.0,,
hillis_steele,256,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2976.0,5.89,,80.67,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,12352.0,33.18,,85.09,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6336.0,26.07,,83.19,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6208.0,10.82,,73.3,,,,16.0,1024.0,1024.0,,
blelloch,256,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,31808.0,38.26,,90.91,,,,25.0,17536.0,1024.0,,
blelloch,256,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6656.0,21.04,,84.96,,,,20.0,17408.0,1024.0,,
blelloch,256,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6240.0,10.56,,73.93,,,,16.0,1024.0,1024.0,,
hillis_steele,256,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19616.0,50.71,,90.12,,,,16.0,17536.0,1024.0,,
hillis_steele,256,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5792.0,19.74,,80.73,,,,18.0,17408.0,1024.0,,
hillis_steele,256,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6144.0,10.47,,74.22,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19552.0,42.95,,85.24,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6624.0,25.1,,81.8,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,10592.0,15.29,,78.56,,,,16.0,1024.0,1024.0,,
blelloch,256,4096,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,58496.0,42.0,,93.46,,,,25.0,17536.0,1024.0,,
blelloch,256,4096,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,7648.0,22.73,,81.93,,,,20.0,17408.0,1024.0,,
blelloch,256,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,10432.0,15.16,,77.83,,,,16.0,1024.0,1024.0,,
hillis_steele,256,4096,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,34272.0,58.64,,91.27,,,,16.0,17536.0,1024.0,,
hillis_steele,256,4096,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,6752.0,21.07,,84.78,,,,18.0,17408.0,1024.0,,
hillis_steele,256,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,10720.0,15.19,,76.64,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,8192,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,33408.0,49.8,,85.99,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,8192,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6848.0,25.1,,82.48,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,18144.0,19.6,,78.67,,,,16.0,1024.0,1024.0,,
blelloch,256,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,107648.0,45.78,,94.78,,,,25.0,17536.0,1024.0,,
blelloch,256,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,8416.0,24.31,,84.69,,,,20.0,17408.0,1024.0,,
blelloch,256,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,18304.0,19.74,,77.47,,,,16.0,1024.0,1024.0,,
hillis_steele,256,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,61472.0,65.28,,93.05,,,,16.0,17536.0,1024.0,,
hillis_steele,256,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,7456.0,22.72,,83.53,,,,18.0,17408.0,1024.0,,
hillis_steele,256,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,18368.0,19.63,,78.6,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,63872.0,52.04,,87.08,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6752.0,24.98,,80.77,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,40544.0,18.85,,79.64,,,,16.0,1024.0,1024.0,,
blelloch,256,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,208768.0,46.8,,95.79,,,,25.0,17536.0,1024.0,,
blelloch,256,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,9248.0,25.64,,84.6,,,,20.0,17408.0,1024.0,,
blelloch,256,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,40640.0,18.93,,79.39,,,,16.0,1024.0,1024.0,,
hillis_steele,256,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,118176.0,67.48,,93.94,,,,16.0,17536.0,1024.0,,
hillis_steele,256,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,8256.0,24.46,,84.5,,,,18.0,17408.0,1024.0,,
hillis_steele,256,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,40672.0,18.84,,78.78,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,122400.0,53.83,,88.02,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6560.0,24.54,,87.84,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,89536.0,17.3,,81.98,,,,16.0,1024.0,1024.0,,
blelloch,256,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,411904.0,47.44,,96.22,,,,25.0,17536.0,1024.0,,
blelloch,256,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,9984.0,27.11,,85.8,,,,20.0,17408.0,1024.0,,
blelloch,256,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,88832.0,17.3,,82.85,,,,16.0,1024.0,1024.0,,
hillis_steele,256,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,231968.0,68.8,,94.44,,,,16.0,17536.0,1024.0,,
hillis_steele,256,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,8384.0,27.27,,85.57,,,,18.0,17408.0,1024.0,,
hillis_steele,256,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,89312.0,17.22,,82.78,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,243008.0,54.18,,88.39,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6656.0,24.9,,83.52,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,186304.0,16.54,,84.5,,,,16.0,1024.0,1024.0,,
blelloch,256,65536,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,819360.0,47.7,,96.42,,,,25.0,17536.0,1024.0,,
blelloch,256,65536,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,10912.0,28.21,,85.76,,,,20.0,17408.0,1024.0,,
blelloch,256,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,186688.0,16.57,,84.29,,,,16.0,1024.0,1024.0,,
hillis_steele,256,65536,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,462528.0,69.34,,95.0,,,,16.0,17536.0,1024.0,,
hillis_steele,256,65536,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,9184.0,28.99,,85.66,,,,18.0,17408.0,1024.0,,
hillis_steele,256,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,186688.0,16.51,,84.67,,,,16.0,1024.0,1024.0,,
warp_shuffle,256,131072,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,476768.0,55.05,,88.5,,,,20.0,17792.0,1024.0,,
warp_shuffle,256,131072,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,6880.0,24.14,,83.31,,,,22.0,17664.0,1024.0,,
warp_shuffle,256,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,383904.0,16.16,,85.14,,,,16.0,1024.0,1024.0,,
blelloch,256,131072,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,1625696.0,48.04,,96.59,,,,25.0,17536.0,1024.0,,
blelloch,256,131072,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,12032.0,28.53,,85.73,,,,20.0,17408.0,1024.0,,
blelloch,256,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,385504.0,16.13,,84.72,,,,16.0,1024.0,1024.0,,
hillis_steele,256,131072,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,910528.0,69.96,,94.93,,,,16.0,17536.0,1024.0,,
hillis_steele,256,131072,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,10176.0,30.94,,82.7,,,,18.0,17408.0,1024.0,,
hillis_steele,256,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,384192.0,16.14,,84.8,,,,16.0,1024.0,1024.0,,
warp_shuffle,512,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,12256.0,33.9,,85.34,,,,20.0,17792.0,1024.0,,
warp_shuffle,512,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,8576.0,39.15,,81.34,,,,22.0,17664.0,1024.0,,
warp_shuffle,512,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3456.0,8.72,,75.04,,,,16.0,1024.0,1024.0,,
blelloch,512,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,31936.0,38.28,,90.82,,,,25.0,17536.0,1024.0,,
blelloch,512,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,7616.0,28.82,,82.04,,,,20.0,17408.0,1024.0,,
blelloch,512,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3424.0,8.72,,75.21,,,,16.0,1024.0,1024.0,,
hillis_steele,512,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19584.0,51.68,,88.73,,,,16.0,17536.0,1024.0,,
hillis_steele,512,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,6816.0,21.14,,80.98,,,,18.0,17408.0,1024.0,,
hillis_steele,512,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3456.0,8.71,,75.73,,,,16.0,1024.0,1024.0,,
warp_shuffle,512,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19424.0,42.53,,86.42,,,,20.0,17792.0,1024.0,,
warp_shuffle,512,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,9024.0,37.21,,82.09,,,,22.0,17664.0,1024.0,,
warp_shuffle,512,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8544.0,14.66,,73.38,,,,16.0,1024.0,1024.0,,
blelloch,512,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,58496.0,41.85,,93.3,,,,25.0,17536.0,1024.0,,
blelloch,512,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,9120.0,30.6,,82.45,,,,20.0,17408.0,1024.0,,
blelloch,512,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8512.0,14.84,,73.1,,,,16.0,1024.0,1024.0,,
hillis_steele,512,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,34368.0,58.56,,91.36,,,,16.0,17536.0,1024.0,,
hillis_steele,512,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,7872.0,27.63,,82.49,,,,18.0,17408.0,1024.0,,
hillis_steele,512,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8416.0,14.47,,72.69,,,,16.0,1024.0,1024.0,,
warp_shuffle,512,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,33600.0,49.74,,85.63,,,,20.0,17792.0,1024.0,,
warp_shuffle,512,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,8992.0,37.03,,83.78,,,,22.0,17664.0,1024.0,,
warp_shuffle,512,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,16384.0,18.85,,79.7,,,,16.0,1024.0,1024.0,,
blelloch,512,4096,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,107040.0,45.73,,94.85,,,,25.0,17536.0,1024.0,,
blelloch,512,4096,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,10368.0,32.09,,82.15,,,,20.0,17408.0,1024.0,,
blelloch,512,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,16544.0,19.22,,76.05,,,,16.0,1024.0,1024.0,,
hillis_steele,512,4096,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,61632.0,65.22,,93.1,,,,16.0,17536.0,1024.0,,
hillis_steele,512,4096,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,8960.0,30.58,,81.98,,,,18.0,17408.0,1024.0,,
hillis_steele,512,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,16320.0,19.22,,77.22,,,,16.0,1024.0,1024.0,,
warp_shuffle,512,8192,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,63648.0,52.0,,87.66,,,,20.0,17792.0,1024.0,,
warp_shuffle,512,8192,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,9088.0,37.68,,83.1,,,,22.0,17664.0,1024.0,,
warp_shuffle,512,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,37696.0,19.14,,78.64,,,,16.0,1024.0,1024.0,,
blelloch,512,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,209184.0,46.82,,95.76,,,,25.0,17536.0,1024.0,,
blelloch,512,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,11584.0,34.73,,84.62,,,,20.0,17408.0,1024.0,,
blelloch,512,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,37440.0,19.32,,77.48,,,,16.0,1024.0,1024.0,,
hillis_steele,512,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,118880.0,67.46,,93.83,,,,16.0,17536.0,1024.0,,
hillis_steele,512,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,10016.0,33.16,,82.98,,,,18.0,17408.0,1024.0,,
hillis_steele,512,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,37920.0,19.24,,77.52,,,,16.0,1024.0,1024.0,,
