D,note,ratio_series
1,hillis_steele faster than blelloch for all tested L,L=1024: 0.8125; L=2048: 0.8235; L=4096: 0.8824; L=8192: 0.8824; L=16384: 0.8333; L=32768: 0.9327; L=65536: 0.9023; L=131072: 0.7906
16,crosses between L=1024 and L=2048,L=1024: 0.8750; L=2048: 1.0809; L=4096: 0.8387; L=8192: 0.9237; L=16384: 0.8393; L=32768: 0.7832; L=65536: 0.7295; L=131072: 0.6841
64,hillis_steele faster than blelloch for all tested L,L=1024: 0.8447; L=2048: 0.8211; L=4096: 0.8044; L=8192: 0.6570; L=16384: 0.7056; L=32768: 0.6547; L=65536: 0.6838; L=131072: 0.6756
256,hillis_steele faster than blelloch for all tested L,L=1024: 0.7925; L=2048: 0.7321; L=4096: 0.6845; L=8192: 0.6789; L=16384: 0.6878; L=32768: 0.6827; L=65536: 0.6665; L=131072: 0.6678
512,hillis_steele faster than blelloch for all tested L,L=1024: 0.7167; L=2048: 0.6750; L=4096: 0.6692; L=8192: 0.6925; L=16384: 0.6780; L=32768: 0.6652; L=65536: 0.6646; L=131072: 0.6652
