=== SSM PREFIX SCAN METRICS REPORT ===
timing_csv: Results/profile_run_colab_20260428_201442/timing.csv
raw_dir:    Results/profile_run_colab_20260428_201442/raw_ncu
out_dir:    Results/profile_run_colab_20260428_201442
peak_bw_gbs=2039.000 peak_fp32_gflops=19500.000

=== PERFORMANCE TABLES (time_ms) ===
D=1
L,warp_shuffle,blelloch,hillis_steele
1024,0.0154,0.0164,0.0133
warp_shuffle,256,4096,NA,NA,NA,NA,NA
blelloch,256,4096,NA,NA,NA,NA,NA
hillis_steele,256,4096,NA,NA,NA,NA,NA
warp_shuffle,256,8192,NA,NA,NA,NA,NA
blelloch,256,8192,NA,NA,NA,NA,NA
hillis_steele,256,8192,NA,NA,NA,NA,NA
warp_shuffle,256,16384,NA,NA,NA,NA,NA
blelloch,256,16384,NA,NA,NA,NA,NA
hillis_steele,256,16384,NA,NA,NA,NA,NA
warp_shuffle,256,32768,NA,NA,NA,NA,NA
blelloch,256,32768,NA,NA,NA,NA,NA
hillis_steele,256,32768,NA,NA,NA,NA,NA
warp_shuffle,256,65536,NA,NA,NA,NA,NA
blelloch,256,65536,NA,NA,NA,NA,NA
hillis_steele,256,65536,NA,NA,NA,NA,NA
warp_shuffle,256,131072,NA,NA,NA,NA,NA
blelloch,256,131072,NA,NA,NA,NA,NA
hillis_steele,256,131072,NA,NA,NA,NA,NA
warp_shuffle,512,1024,NA,NA,NA,NA,NA
blelloch,512,1024,NA,NA,NA,NA,NA
hillis_steele,512,1024,NA,NA,NA,NA,NA
warp_shuffle,512,2048,NA,NA,NA,NA,NA
blelloch,512,2048,NA,NA,NA,NA,NA
hillis_steele,512,2048,NA,NA,NA,NA,NA
warp_shuffle,512,4096,NA,NA,NA,NA,NA
blelloch,512,4096,NA,NA,NA,NA,NA
hillis_steele,512,4096,NA,NA,NA,NA,NA
warp_shuffle,512,8192,NA,NA,NA,NA,NA
blelloch,512,8192,NA,NA,NA,NA,NA
hillis_steele,512,8192,NA,NA,NA,NA,NA
warp_shuffle,512,16384,NA,NA,NA,NA,NA
blelloch,512,16384,NA,NA,NA,NA,NA
hillis_steele,512,16384,NA,NA,NA,NA,NA
warp_shuffle,512,32768,NA,NA,NA,NA,NA
blelloch,512,32768,NA,NA,NA,NA,NA
hillis_steele,512,32768,NA,NA,NA,NA,NA
warp_shuffle,512,65536,NA,NA,NA,NA,NA
blelloch,512,65536,NA,NA,NA,NA,NA
hillis_steele,512,65536,NA,NA,NA,NA,NA
warp_shuffle,512,131072,NA,NA,NA,NA,NA
blelloch,512,131072,NA,NA,NA,NA,NA
hillis_steele,512,131072,NA,NA,NA,NA,NA

=== FULL PER-RUN UTILIZATION TABLE ===
kernel,D,L,occ_pct,warp_eff_pct,sm_util_pct,dram_util_pct,bw_util_pct,resident_warps,regs_per_thread,block_size,shared_mem_B,l1_hit_pct,l2_hit_pct,utilization_bound
warp_shuffle,1,1024,47.04,NA,0.12,NA,NA,30.11,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,1024,48.83,NA,0.17,NA,NA,31.25,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,1024,48.16,NA,0.17,NA,NA,30.82,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,2048,46.47,NA,0.19,NA,NA,29.74,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,2048,48.91,NA,0.31,NA,NA,31.30,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,2048,48.17,NA,0.31,NA,NA,30.83,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,4096,47.87,NA,0.35,NA,NA,30.64,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,4096,48.20,NA,0.59,NA,NA,30.85,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,4096,48.13,NA,0.59,NA,NA,30.81,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,8192,47.22,NA,0.67,NA,NA,30.22,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,8192,49.35,NA,1.16,NA,NA,31.58,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,8192,50.00,NA,1.15,NA,NA,32.00,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,16384,47.36,NA,1.26,NA,NA,30.31,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,16384,48.40,NA,2.22,NA,NA,30.97,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,16384,48.44,NA,2.21,NA,NA,31.00,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,32768,47.84,NA,2.50,NA,NA,30.62,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,32768,49.10,NA,4.20,NA,NA,31.43,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,32768,48.53,NA,4.33,NA,NA,31.06,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,65536,47.57,NA,4.80,NA,NA,30.45,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,65536,49.09,NA,8.29,NA,NA,31.42,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,65536,48.36,NA,8.31,NA,NA,30.95,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,1,131072,53.72,NA,8.11,NA,NA,34.38,22.00,1024.00,17792.00,NA,NA,NA
blelloch,1,131072,55.42,NA,12.51,NA,NA,35.47,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,1,131072,54.56,NA,13.36,NA,NA,34.92,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,1024,45.96,NA,2.08,NA,NA,29.41,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,1024,49.52,NA,2.78,NA,NA,31.69,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,1024,47.96,NA,2.80,NA,NA,30.69,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,2048,47.49,NA,3.11,NA,NA,30.39,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,2048,48.90,NA,5.03,NA,NA,31.30,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,2048,48.49,NA,5.08,NA,NA,31.03,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,4096,47.21,NA,5.35,NA,NA,30.22,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,4096,47.50,NA,9.33,NA,NA,30.40,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,4096,48.02,NA,9.32,NA,NA,30.74,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,8192,52.65,NA,9.01,NA,NA,33.69,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,8192,55.95,NA,13.75,NA,NA,35.81,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,8192,54.94,NA,14.74,NA,NA,35.16,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,16384,76.93,NA,13.74,NA,NA,49.24,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,16384,78.69,NA,20.62,NA,NA,50.36,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,16384,77.18,NA,22.94,NA,NA,49.40,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,32768,77.29,NA,21.00,NA,NA,49.47,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,32768,83.40,NA,29.18,NA,NA,53.37,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,32768,80.32,NA,33.85,NA,NA,51.41,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,65536,79.68,NA,28.73,NA,NA,51.00,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,65536,87.78,NA,34.58,NA,NA,56.18,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,65536,84.79,NA,42.54,NA,NA,54.26,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,16,131072,80.90,NA,35.87,NA,NA,51.78,22.00,1024.00,17792.00,NA,NA,NA
blelloch,16,131072,90.36,NA,39.81,NA,NA,57.83,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,16,131072,87.15,NA,50.70,NA,NA,55.78,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,1024,47.55,NA,7.84,NA,NA,30.43,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,1024,49.01,NA,10.87,NA,NA,31.37,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,1024,47.01,NA,10.93,NA,NA,30.09,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,2048,53.42,NA,10.48,NA,NA,34.19,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,2048,56.16,NA,14.93,NA,NA,35.94,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,2048,54.66,NA,16.25,NA,NA,34.98,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,4096,73.83,NA,15.64,NA,NA,47.25,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,4096,78.46,NA,22.55,NA,NA,50.22,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,4096,76.76,NA,25.36,NA,NA,49.13,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,8192,76.98,NA,22.69,NA,NA,49.26,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,8192,83.92,NA,30.65,NA,NA,53.71,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,8192,81.00,NA,35.70,NA,NA,51.84,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,16384,79.15,NA,29.54,NA,NA,50.65,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,16384,88.39,NA,35.30,NA,NA,56.57,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,16384,84.38,NA,43.60,NA,NA,54.00,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,32768,81.07,NA,36.52,NA,NA,51.88,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,32768,90.73,NA,40.30,NA,NA,58.07,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,32768,87.48,NA,51.47,NA,NA,55.99,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,65536,82.93,NA,37.41,NA,NA,53.08,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,65536,92.00,NA,41.27,NA,NA,58.88,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,65536,89.10,NA,52.94,NA,NA,57.02,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,64,131072,85.18,NA,37.55,NA,NA,54.51,22.00,1024.00,17792.00,NA,NA,NA
blelloch,64,131072,93.22,NA,41.53,NA,NA,59.66,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,64,131072,90.52,NA,53.48,NA,NA,57.93,18.00,1024.00,17536.00,NA,NA,NA
