kernel,D,L,chunk_size,time_ms,correct,throughput_GB_s_timing,sm_util_pct,dram_util_pct,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,dram_bytes,flops,ai_flop_per_byte,gflops,dram_bw_gb_s,bandwidth_util_pct,l1_hit_rate_pct,l2_hit_rate_pct,roofline_bound,roofline_limit_gflops,roofline_efficiency_pct,utilization_bound
warp_shuffle,64,32768,1024,0.0528,1,476.625457,,,,,,,,,,,,,,,,,,,,
blelloch,64,32768,1024,0.112864,1,222.974761,,,,,,,,,,,,,,,,,,,,
hillis_steele,64,32768,1024,0.073888,1,340.594213,,,,,,,,,,,,,,,,,,,,
warp_shuffle,64,65536,1024,0.121696,1,413.585055,,,,,,,,,,,,,,,,,,,,
blelloch,64,65536,1024,0.229728,1,219.092354,,,,,,,,,,,,,,,,,,,,
hillis_steele,64,65536,1024,0.157088,1,320.404163,,,,,,,,,,,,,,,,,,,,
warp_shuffle,64,131072,1024,0.219072,1,459.498687,,,,,,,,,,,,,,,,,,,,
blelloch,64,131072,1024,0.435968,1,230.89606,,,,,,,,,,,,,,,,,,,,
hillis_steele,64,131072,1024,0.294528,1,341.778349,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,1024,1024,0.022944,1,137.104605,,,,,,,,,,,,,,,,,,,,
blelloch,256,1024,1024,0.03424,1,91.872897,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,1024,1024,0.027136,1,115.924529,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,2048,1024,0.030208,1,208.27118,,,,,,,,,,,,,,,,,,,,
blelloch,256,2048,1024,0.043008,1,146.285715,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,2048,1024,0.031488,1,199.80487,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,4096,1024,0.034176,1,368.179781,,,,,,,,,,,,,,,,,,,,
blelloch,256,4096,1024,0.064608,1,194.7578,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,4096,1024,0.044224,1,284.526763,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,8192,1024,0.05232,1,480.998167,,,,,,,,,,,,,,,,,,,,
blelloch,256,8192,1024,0.110912,1,226.899014,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,8192,1024,0.075296,1,334.225246,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,16384,1024,0.118304,1,425.443335,,,,,,,,,,,,,,,,,,,,
blelloch,256,16384,1024,0.226752,1,221.967826,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,16384,1024,0.155968,1,322.704974,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,32768,1024,0.218048,1,461.656576,,,,,,,,,,,,,,,,,,,,
blelloch,256,32768,1024,0.435552,1,231.116596,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,32768,1024,0.297344,1,338.541542,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,65536,1024,0.420768,1,478.474113,,,,,,,,,,,,,,,,,,,,
blelloch,256,65536,1024,0.855648,1,235.291377,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,65536,1024,0.570304,1,353.016287,,,,,,,,,,,,,,,,,,,,
warp_shuffle,256,131072,1024,0.885024,1,454.963005,,,,,,,,,,,,,,,,,,,,
blelloch,256,131072,1024,1.685696,1,238.864649,,,,,,,,,,,,,,,,,,,,
hillis_steele,256,131072,1024,1.125696,1,357.692667,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,1024,1024,0.027232,1,231.031722,,,,,,,,,,,,,,,,,,,,
blelloch,512,1024,1024,0.044384,1,141.750544,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,1024,1024,0.031808,1,197.794768,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,2048,1024,0.032672,1,385.128315,,,,,,,,,,,,,,,,,,,,
blelloch,512,2048,1024,0.064992,1,193.607081,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,2048,1024,0.043872,1,286.809636,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,4096,1024,0.05328,1,472.331535,,,,,,,,,,,,,,,,,,,,
blelloch,512,4096,1024,0.111136,1,226.441699,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,4096,1024,0.074368,1,338.395869,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,8192,1024,0.118624,1,424.295651,,,,,,,,,,,,,,,,,,,,
blelloch,512,8192,1024,0.224384,1,224.31033,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,8192,1024,0.155392,1,323.901141,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,16384,1024,0.218464,1,460.777497,,,,,,,,,,,,,,,,,,,,
blelloch,512,16384,1024,0.434464,1,231.695363,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,16384,1024,0.29456,1,341.741245,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,32768,1024,0.420256,1,479.057045,,,,,,,,,,,,,,,,,,,,
blelloch,512,32768,1024,0.854624,1,235.573303,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,32768,1024,0.568512,1,354.128996,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,65536,1024,0.821056,1,490.408912,,,,,,,,,,,,,,,,,,,,
blelloch,512,65536,1024,1.687584,1,238.597411,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,65536,1024,1.121632,1,358.98868,,,,,,,,,,,,,,,,,,,,
warp_shuffle,512,131072,1024,1.652704,1,487.26594,,,,,,,,,,,,,,,,,,,,
blelloch,512,131072,1024,3.35584,1,239.971624,,,,,,,,,,,,,,,,,,,,
hillis_steele,512,131072,1024,2.232224,1,360.76414,,,,,,,,,,,,,,,,,,,,
